Code	Iso	Species	Period	Phos	Volu	Site	Dilu	Cove	Trial	Day	IXM
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	3.2	20	9	1	3.02	3	5	22
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	0.05	20	9	1	3.02	1	0	25
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	0.05	20	9	1	3.02	2	0	25
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	0.05	20	9	1	3.02	3	0	25
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	0.1	20	9	1	3.02	1	0	25
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	0.1	20	9	1	3.02	2	0	25
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	0.1	20	9	1	3.02	3	0	25
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	0.2	20	9	1	3.02	1	0	25
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	0.2	20	9	1	3.02	2	0	25
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	0.2	20	9	1	3.02	3	0	25
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	0.4	20	9	1	3.02	1	0	25
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	0.4	20	9	1	3.02	2	0	25
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	0.4	20	9	1	3.02	3	0	25
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	0.8	20	9	1	3.02	1	0	25
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	0.8	20	9	1	3.02	2	0	25
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	0.8	20	9	1	3.02	3	0	25
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	1.6	20	9	1	3.02	1	0	25
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	1.6	20	9	1	3.02	2	0	25
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	1.6	20	9	1	3.02	3	0	25
