Code	Iso	Species	Period	Volu	Site	Dilu	Cove	Trial	IXMI	IXMF
18B_C5	I51	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	3	4413	2903
18B_C5	I51	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	4	3900	3515
18B_C5	I51	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	5	4355	3834
18B_C6 	I52	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	1	4500	4275
18B_C6 	I52	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	2	4461	4191
18B_C6 	I52	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	3	4244	3585
18B_C6 	I52	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	4	4440	3145
18B_C6 	I52	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	5	4243	3754
18B_D2	I53	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	1	4618	4202
18B_D2	I53	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	2	4280	3890
18B_D2	I53	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	3	4299	2889
18B_D2	I53	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	4	4384	3628
18B_D2	I53	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	5	4352	3179
18B_D3	I54	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	1	5635	5489
18B_D3	I54	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	2	5386	5243
18B_D3	I54	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	3	5348	3263
18B_D3	I54	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	4	5237	4288
18B_D3	I54	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	5	5424	4174
21A_D6	I57	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	1	3526	2977
21A_D6	I57	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	2	3465	2851
21A_D6	I57	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	3	3584	2958
21A_D6	I57	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	4	3682	2849
21A_D6	I57	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	5	3518	3020
21B_C6	I58	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	1	3690	2936
21B_C6	I58	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	2	3851	2939
21B_C6	I58	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	3	4117	3031
21B_C6	I58	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	4	3927	2895
21B_C6	I58	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	5	3845	3010
