Code	Iso	Species	Period	Volu	Site	Dilu	Cove	Trial	Day	IXM
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	2	364
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	2	350
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	4	622
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	4	601
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	4	585
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	4	591
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	4	563
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	6	705
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	6	655
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	6	608
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	6	656
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	6	721
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	8	573
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	8	617
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	8	674
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	8	684
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	8	769
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	10	624
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	10	648
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	10	639
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	10	673
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	10	566
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	12	720
